jpamb.cases.Arrays.binarySearch: '' -> assertion error,0,Input(values=(Value(type=Int(), value=6),)),assertion error
jpamb.cases.Arrays.binarySearch: '' -> assertion error,1,Input(values=(Value(type=Int(), value=3),)),ok
jpamb.cases.Arrays.binarySearch: '' -> assertion error,1,Input(values=(Value(type=Int(), value=6),)),assertion error
jpamb.cases.Arrays.binarySearch: '' -> assertion error,0,Input(values=(Value(type=Int(), value=3),)),ok
jpamb.cases.Arrays.binarySearch: '' -> assertion error,0,Input(values=(Value(type=Int(), value=6),)),assertion error
jpamb.cases.Arrays.binarySearch: '' -> assertion error,1,Input(values=(Value(type=Int(), value=3),)),ok
jpamb.cases.Arrays.binarySearch: '' -> assertion error,1,Input(values=(Value(type=Int(), value=6),)),assertion error
jpamb.cases.Arrays.binarySearch: '' -> assertion error,0,Input(values=(Value(type=Int(), value=3),)),ok
jpamb.cases.Arrays.binarySearch: '' -> assertion error,0,Input(values=(Value(type=Int(), value=6),)),assertion error
jpamb.cases.Arrays.binarySearch: '' -> assertion error,1,Input(values=(Value(type=Int(), value=3),)),ok
jpamb.cases.Arrays.binarySearch: '' -> assertion error,1,Input(values=(Value(type=Int(), value=6),)),assertion error
jpamb.cases.Arrays.binarySearch: '' -> assertion error,0,Input(values=(Value(type=Int(), value=3),)),ok
jpamb.cases.Arrays.binarySearch: '' -> assertion error,0,Input(values=(Value(type=Int(), value=6),)),assertion error
jpamb.cases.Arrays.binarySearch: '' -> assertion error,1,Input(values=(Value(type=Int(), value=3),)),ok
jpamb.cases.Arrays.binarySearch: '' -> assertion error,1,Input(values=(Value(type=Int(), value=6),)),assertion error
jpamb.cases.Arrays.binarySearch: '' -> assertion error,0,Input(values=(Value(type=Int(), value=3),)),ok
jpamb.cases.Arrays.binarySearch: '' -> assertion error,0,Input(values=(Value(type=Int(), value=6),)),assertion error
jpamb.cases.Arrays.binarySearch: '' -> assertion error,1,Input(values=(Value(type=Int(), value=3),)),ok
jpamb.cases.Arrays.binarySearch: '' -> assertion error,1,Input(values=(Value(type=Int(), value=6),)),assertion error
jpamb.cases.Arrays.binarySearch: '' -> assertion error,0,Input(values=(Value(type=Int(), value=3),)),ok
jpamb.cases.Arrays.binarySearch: '' -> assertion error,0,Input(values=(Value(type=Int(), value=3),)),OK
jpamb.cases.Arrays.binarySearch: '' -> assertion error,0,Input(values=(Value(type=Int(), value=3),)),OK
jpamb.cases.Arrays.binarySearch: '' -> assertion error,0,Input(values=(Value(type=Int(), value=3),)),OK
jpamb.cases.Arrays.binarySearch: '' -> assertion error,0,Input(values=(Value(type=Int(), value=3),)),OK
jpamb.cases.Arrays.binarySearch: '' -> assertion error,0,Input(values=(Value(type=Int(), value=3),)),OK
jpamb.cases.Arrays.binarySearch: '' -> assertion error,0,Input(values=(Value(type=Int(), value=3),)),OK
jpamb.cases.Arrays.binarySearch: '' -> assertion error,0,Input(values=(Value(type=Int(), value=3),)),OK


jpamb.cases.Arrays.arrayContent: '' -> assertion error,0,(),TARGET_HIT

jpamb.cases.Arrays.arrayInBounds: '' -> ok,0,(),OK
jpamb.cases.Arrays.arrayInBounds: '' -> ok,1,(),OK
jpamb.cases.Arrays.arrayInBounds: '' -> ok,2,(),OK
jpamb.cases.Arrays.arrayInBounds: '' -> ok,3,(),OK
jpamb.cases.Arrays.arrayInBounds: '' -> ok,4,(),OK
jpamb.cases.Arrays.arrayInBounds: '' -> ok,5,(),OK
jpamb.cases.Arrays.arrayInBounds: '' -> ok,6,(),OK
jpamb.cases.Arrays.arrayInBounds: '' -> ok,7,(),OK
jpamb.cases.Arrays.arrayInBounds: '' -> ok,8,(),OK
jpamb.cases.Arrays.arrayInBounds: '' -> ok,9,(),OK

jpamb.cases.Arrays.arrayIsNull: '' -> null pointer,0,(),TARGET_HIT

jpamb.cases.Arrays.arrayIsNullLength: '' -> null pointer,0,(),TARGET_HIT

jpamb.cases.Arrays.arrayLength: '' -> ok,0,(),OK
jpamb.cases.Arrays.arrayLength: '' -> ok,1,(),OK
jpamb.cases.Arrays.arrayLength: '' -> ok,2,(),OK
jpamb.cases.Arrays.arrayLength: '' -> ok,3,(),OK
jpamb.cases.Arrays.arrayLength: '' -> ok,4,(),OK
jpamb.cases.Arrays.arrayLength: '' -> ok,5,(),OK
jpamb.cases.Arrays.arrayLength: '' -> ok,6,(),OK
jpamb.cases.Arrays.arrayLength: '' -> ok,7,(),OK
jpamb.cases.Arrays.arrayLength: '' -> ok,8,(),OK
jpamb.cases.Arrays.arrayLength: '' -> ok,9,(),OK

jpamb.cases.Arrays.arrayNotEmpty: '' -> assertion error,0,([I:]),TARGET_HIT

jpamb.cases.Arrays.arrayOutOfBounds: '' -> out of bounds,0,(),TARGET_HIT

jpamb.cases.Arrays.arraySometimesNull: '' -> null pointer,0,(0),NEW_ALARM
jpamb.cases.Arrays.arraySometimesNull: '' -> null pointer,0,(1),NEW_ALARM
jpamb.cases.Arrays.arraySometimesNull: '' -> null pointer,0,(-1),NEW_ALARM
jpamb.cases.Arrays.arraySometimesNull: '' -> null pointer,0,(42),TARGET_HIT

jpamb.cases.Arrays.arraySpellsHello: '' -> assertion error,0,([C:'a']),TARGET_HIT

jpamb.cases.Arrays.arraySumIsLarge: '' -> assertion error,0,([I:]),TARGET_HIT

jpamb.cases.Arrays.binarySearch: '' -> assertion error,0,(0),TARGET_HIT

jpamb.cases.Calls.allPrimesArePositive: '' -> assertion error,0,(0),NEW_ALARM
jpamb.cases.Calls.allPrimesArePositive: '' -> assertion error,0,(1),OK
jpamb.cases.Calls.allPrimesArePositive: '' -> assertion error,0,(-1),TARGET_HIT

jpamb.cases.Calls.callsAssertFalse: '' -> assertion error,0,(),TARGET_HIT

jpamb.cases.Calls.callsAssertFib: '' -> assertion error,0,(0),TARGET_HIT

